sl_pips,tp_pips,trades,win_rate_pct,total_pips,net_pnl_usd,return_pct,max_drawdown_pct
10,50,73,15.068493150684931,-289.0,-28.899999999999995,-2.8899999999999997,-2.948231061363182
10,100,73,12.32876712328767,41.0,4.100000000000008,0.41000000000000075,-2.317749603803484
10,150,73,6.8493150684931505,-149.0,-14.90000000000001,-1.4900000000000009,-4.299157999009409
10,200,73,6.8493150684931505,101.0,10.100000000000001,1.0100000000000002,-4.228684080827992
20,50,73,21.91780821917808,-559.0,-55.90000000000002,-5.590000000000002,-5.372356419765462
20,100,73,20.54794520547945,121.0,12.09999999999999,1.209999999999999,-3.1015218647659455
20,150,72,9.722222222222223,-466.0,-46.600000000000016,-4.660000000000002,-6.275484833416202
20,200,72,9.722222222222223,-116.0,-11.600000000000005,-1.1600000000000004,-5.333993072736267
30,50,72,31.944444444444443,-536.0,-53.60000000000002,-5.360000000000002,-5.690084703537621
30,100,72,26.38888888888889,94.0,9.399999999999999,0.9399999999999998,-3.7840420449116126
30,150,71,14.084507042253522,-543.0,-54.29999999999999,-5.429999999999999,-5.871193210184718
30,200,71,14.084507042253522,-43.0,-4.299999999999992,-0.4299999999999992,-5.098985997102845
50,50,70,45.714285714285715,-510.0,-51.000000000000014,-5.100000000000001,-7.576938059992205
50,100,69,36.231884057971016,93.0,9.299999999999986,0.9299999999999987,-4.521804938038014
50,150,66,21.21212121212121,-698.0,-69.8,-6.98,-8.219042920572269
50,200,66,21.21212121212121,2.0,0.20000000000002416,0.020000000000002415,-6.135808500244256
75,50,68,54.41176470588235,-679.0,-67.90000000000002,-6.790000000000002,-7.419547079856977
75,100,66,45.45454545454545,102.0,10.200000000000003,1.0200000000000002,-4.317269076305221
75,150,62,29.03225806451613,-785.9999999999955,-78.59999999999953,-7.859999999999953,-8.976143141153077
75,200,62,29.03225806451613,114.00000000000455,11.400000000000492,1.1400000000000494,-6.427165354330704
100,50,68,58.82352941176471,-1004.0,-100.40000000000002,-10.040000000000001,-11.08914805297489
100,100,65,47.69230769230769,-495.0,-49.49999999999997,-4.9499999999999975,-6.603124692935043
100,150,60,33.33333333333333,-1179.9999999999955,-117.99999999999953,-11.799999999999953,-12.94907224634815
100,200,60,33.33333333333333,-179.99999999999545,-17.999999999999524,-1.7999999999999523,-8.451663100564101
150,50,65,73.84615384615385,-345.0,-34.500000000000014,-3.4500000000000015,-9.495688038995121
150,100,60,56.666666666666664,-680.0,-67.99999999999997,-6.799999999999998,-8.87475538160469
150,150,55,45.45454545454545,-914.9999999999955,-91.4999999999995,-9.14999999999995,-12.327166504381697
150,200,55,43.63636363636363,-14.999999999995453,-1.4999999999994706,-0.14999999999994706,-10.980830076307454
200,50,63,76.19047619047619,-789.0,-78.9,-7.8900000000000015,-12.84065102195306
200,100,57,63.1578947368421,-771.0,-77.09999999999995,-7.709999999999995,-11.962224554039862
200,150,53,54.71698113207547,-608.9999999999955,-60.89999999999952,-6.089999999999953,-14.417205868951013
200,200,53,52.83018867924528,441.00000000000455,44.10000000000055,4.410000000000055,-12.35283933518006
